2015-10-27,106.91
2015-10-28,111.31
2015-10-29,112.49
2015-10-30,111.53
2015-11-02,113.1
2015-11-03,114.39
2015-11-04,113.86
2015-11-05,113.34
2015-11-06,113.47
2015-11-09,113.01
2015-11-10,109.45
2015-11-11,108.83
2015-11-12,108.46
2015-11-13,105.29
2015-11-16,107.02
2015-11-17,106.56
2015-11-18,109.93
2015-11-19,111.33
2015-11-20,111.82
2015-11-23,110.36
2015-11-24,111.42
2015-11-25,110.63
2015-11-27,110.42
2015-11-30,110.88
2015-12-01,109.98
2015-12-02,108.99
2015-12-03,107.97
2015-12-04,111.56
2015-12-07,110.86
2015-12-08,110.81
2015-12-09,108.37
2015-12-10,108.88
2015-12-11,106.08
2015-12-14,105.43
2015-12-15,103.56
2015-12-16,104.36
2015-12-17,102.14
2015-12-18,99.38
2015-12-21,100.6
2015-12-22,100.5
2015-12-23,101.8
2015-12-24,101.25
2015-12-28,100.12
2015-12-29,101.92
2015-12-30,100.59
2015-12-31,98.66
2016-01-04,98.74
2016-01-05,96.27
2016-01-06,94.38
2016-01-07,90.4
2016-01-08,90.88
2016-01-11,92.35
2016-01-12,93.69
2016-01-13,91.28
2016-01-14,93.28
2016-01-15,91.04
2016-01-19,90.6
2016-01-20,90.72
2016-01-21,90.26
2016-01-22,95.06
2016-01-25,93.2
2016-01-26,93.72
2016-01-27,87.56
2016-01-28,88.19
2016-01-29,91.23
2016-02-01,90.38
2016-02-02,88.55
2016-02-03,90.31
2016-02-04,91.03
2016-02-05,88.6
2016-02-08,89.53
2016-02-09,89.52
2016-02-10,88.84
2016-02-11,88.3
2016-02-12,88.57
2016-02-16,91.07
2016-02-17,92.46
2016-02-18,90.71
2016-02-19,90.5
2016-02-22,91.3
2016-02-23,89.23
2016-02-24,90.56
2016-02-25,91.18
2016-02-26,91.32
2016-02-29,91.12
2016-03-01,94.74
2016-03-02,94.94
2016-03-03,95.65
2016-03-04,97.07
2016-03-07,96.0
2016-03-08,95.21
2016-03-09,95.29
2016-03-10,95.34
2016-03-11,96.37
2016-03-14,96.61
2016-03-15,98.55
2016-03-16,99.86
2016-03-17,99.7
2016-03-18,99.82
2016-03-21,99.81
2016-03-22,100.57
2016-03-23,100.01
2016-03-24,99.58
2016-03-28,99.13
2016-03-29,101.47
2016-03-30,103.25
2016-03-31,102.71
2016-04-01,103.65
2016-04-04,104.72
2016-04-05,103.48
2016-04-06,104.56
2016-04-07,102.28
2016-04-08,102.4
2016-04-11,102.74
2016-04-12,104.07
2016-04-13,105.58
2016-04-14,105.64
2016-04-15,103.52
2016-04-18,101.29
2016-04-19,100.75
2016-04-20,100.96
2016-04-21,99.86
2016-04-22,99.59
2016-04-25,99.02
2016-04-26,98.34
2016-04-27,92.18
2016-04-28,89.36
2016-04-29,88.34
2016-05-02,88.24
2016-05-03,89.69
2016-05-04,88.76
2016-05-05,88.4
2016-05-06,87.91
2016-05-09,87.97
2016-05-10,88.57
2016-05-11,87.71
2016-05-12,85.65
2016-05-13,85.82
2016-05-16,89.01
2016-05-17,88.64
2016-05-18,89.65
2016-05-19,89.31
2016-05-20,90.28
2016-05-23,91.43
2016-05-24,92.82
2016-05-25,94.45
2016-05-26,95.2
2016-05-27,95.14
2016-05-31,94.68
2016-06-01,93.35
2016-06-02,92.65
2016-06-03,92.84
2016-06-06,93.51
2016-06-07,93.89
2016-06-08,93.81
2016-06-09,94.48
2016-06-10,93.7
2016-06-13,92.29
2016-06-14,92.4
2016-06-15,92.1
2016-06-16,92.49
2016-06-17,90.38
2016-06-20,90.16
2016-06-21,90.93
